t_h,R_umol,assimilated_umol,supplied_umol,U_umol_h,A_umol_h,light
17.36,3.646596738484967,14.741119262731713,16.38771600121668,0.3549770609911318,0.27467605439026793,False
17.38,3.6482010804967917,14.746613043923137,16.39481412441993,0.35483531721282596,0.2747020526997957,False
17.4,3.6498020718583706,14.752107344358492,16.401909416216867,0.3546939201854037,0.2747279788276844,False
17.42,3.651399720935257,14.757602162596807,16.409001883532067,0.3545528688658532,0.2747538330398262,False
17.44,3.652994036066876,14.763097497202413,16.41609153326929,0.3544121622149454,0.27477961560082914,False
17.46,3.654585025566627,14.768593346744924,16.42317837231155,0.35427179919721824,0.27480532677402475,False
17.48,3.656172697721984,14.774089709799203,16.430262407521187,0.3541317787809617,0.2748309668214763,False
17.5,3.657757060794595,14.77958658494535,16.437343645739944,0.35399209993820235,0.27485653600398574,False
17.52,3.6593381230203823,14.78508397076866,16.444422093789044,0.3538527616446884,0.2748820345811016,False
17.54,3.6609158926096423,14.790581865859613,16.451497758469255,0.3537137628798747,0.2749074628111267,False
17.560000000000002,3.662490377747144,14.796080268813839,16.458570646560982,0.3535751026269076,0.27493282095112537,False
17.58,3.664061586592225,14.801579178232096,16.46564076482432,0.3534367798726102,0.2749581092569307,False
17.6,3.665629527278895,14.807078592720252,16.472708119999147,0.353298793607467,0.2749833279831525,False
17.62,3.6671942079159265,14.81257851088925,16.479772718805176,0.35316114282560973,0.2750084773831839,False
17.64,3.668755636586958,14.818078931355087,16.486834567942044,0.3530238265248021,0.27503355770920923,False
17.66,3.6703138213505855,14.823579852738797,16.493893674089385,0.3528868437064252,0.2750585692122108,False
17.68,3.671868770240463,14.82908127366642,16.500950043906883,0.35275019337546293,0.2750835121419762,False
17.7,3.6734204912653947,14.834583192768978,16.508003684034374,0.35261387454048737,0.2751083867471055,False
17.72,3.6749689924094326,14.840085608682456,16.51505460109189,0.3524778862136442,0.2751331932750181,False
17.740000000000002,3.676514281631971,14.845588520047773,16.522102801679743,0.3523422274106381,0.2751579319719601,False
17.759999999999998,3.6780563668678385,14.851091925510762,16.5291482923786,0.35220689715071896,0.2751826030830107,False
17.78,3.679595256027397,14.856595823722147,16.536191079749546,0.3520718944566664,0.27520720685208955,False
17.8,3.68113095699663,14.862100213337518,16.54323117033415,0.35193721835477654,0.2752317435219636,False
17.82,3.682663477637239,14.867605093017309,16.55026857065455,0.35180286787484705,0.27525621333425354,False
17.84,3.684192825786735,14.873110461426775,16.557303287213507,0.3516688420501634,0.27528061652944114,False
17.86,3.685719009258532,14.878616317235968,16.5643353264945,0.35153513991748436,0.2753049533468751,False
17.88,3.687242035842037,14.884122659119718,16.571364694961755,0.3514017605170282,0.27532922402477894,False
17.9,3.6887619133027427,14.88962948575761,16.57839139906035,0.3512687028924586,0.2753534288002562,False
17.92,3.69027864938232,14.895136795833954,16.585415445216274,0.35113596609087033,0.2753775679092984,False
17.94,3.691792251798705,14.900644588037771,16.592436839836477,0.3510035491627761,0.2754016415867903,False
17.96,3.6933027282461928,14.906152861062774,16.599455589308967,0.35087145116209195,0.27542565006651737,False
17.98,3.6948100863955258,14.911661613607333,16.60647170000286,0.3507396711461238,0.2754495935811719,False
18.0,3.6963143338939823,14.917170844374464,16.613485178268448,0.35060820817555366,0.27547347236235886,False
18.02,3.6978154783654684,14.922680552071807,16.620496030437277,0.35047706131442596,0.2754972866406032,False
18.04,3.6993135274106033,14.928190735411599,16.627504262822203,0.350346229630134,0.2755210366453554,False
18.060000000000002,3.70080848860681,14.933701393110654,16.634509881717467,0.3502157121934061,0.275544722604998,False
18.08,3.7023003695084014,14.939212523890346,16.64151289339875,0.3500855080782923,0.27556834474685193,False
18.1,3.70378917764667,14.944724126476585,16.648513304123256,0.34995561636215095,0.2755919032971825,False
18.12,3.705274920529972,14.950236199599791,16.655511120129766,0.349826036125635,0.2756153984812054,False
18.14,3.7067576056438174,14.955748741994885,16.662506347638704,0.349696766452679,0.2756388305230932,False
18.16,3.708237240450953,14.961261752401256,16.669498992852212,0.3495678064304855,0.27566219964598104,False
